Word Pair,video_id,date
"('reprimi', 'manifestantes')",7193893221745937669,2023-01-29T02:20:01.000Z
"('manifestantes', 'hacia')",7193893221745937669,2023-01-29T02:20:01.000Z
"('hacia', 'grau')",7193893221745937669,2023-01-29T02:20:01.000Z
"('grau', 'centro')",7193893221745937669,2023-01-29T02:20:01.000Z
"('centro', 'lima')",7193893221745937669,2023-01-29T02:20:01.000Z
"('lima', 'lacrimgenas')",7193893221745937669,2023-01-29T02:20:01.000Z
"('lacrimgenas', 'piedras')",7193893221745937669,2023-01-29T02:20:01.000Z
"('poblacin', 'san')",7191501472327109894,2023-01-22T15:38:41.000Z
"('san', 'francisco')",7191501472327109894,2023-01-22T15:38:41.000Z
"('francisco', 'ass')",7191501472327109894,2023-01-22T15:38:41.000Z
"('ass', 'castilla')",7191501472327109894,2023-01-22T15:38:41.000Z
"('castilla', 'rechaza')",7191501472327109894,2023-01-22T15:38:41.000Z
"('rechaza', 'visita')",7191501472327109894,2023-01-22T15:38:41.000Z
"('visita', 'ministra')",7191501472327109894,2023-01-22T15:38:41.000Z
"('ministra', 'hania')",7191501472327109894,2023-01-22T15:38:41.000Z
"('hania', 'prez')",7191501472327109894,2023-01-22T15:38:41.000Z
"('prez', 'entrate')",7191501472327109894,2023-01-22T15:38:41.000Z
"('entrate', 'ms')",7191501472327109894,2023-01-22T15:38:41.000Z
"('opiniones', 'alcalde')",7184284257756450054,2023-01-03T04:52:21.000Z
"('alcalde', 'victoria')",7184284257756450054,2023-01-03T04:52:21.000Z
"('len', 'grave')",7193924934316363013,2023-01-29T04:23:03.000Z
"('grave', 'denuncia')",7193924934316363013,2023-01-29T04:23:03.000Z
"('denuncia', 'est')",7193924934316363013,2023-01-29T04:23:03.000Z
"('est', 'pasando')",7193924934316363013,2023-01-29T04:23:03.000Z
"('pasando', 'hospital')",7193924934316363013,2023-01-29T04:23:03.000Z
"('hospital', 'grau')",7193924934316363013,2023-01-29T04:23:03.000Z
"('lima', 'viene')",7205290883774778629,2023-02-28T19:28:37.000Z
"('viene', 'fuerza')",7205290883774778629,2023-02-28T19:28:37.000Z
"('fuerza', 'toma')",7205290883774778629,2023-02-28T19:28:37.000Z
"('toma', 'lima')",7205290883774778629,2023-02-28T19:28:37.000Z
"('queda', 'duda')",7192414830119193861,2023-01-25T02:43:05.000Z
"('duda', 'registra')",7192414830119193861,2023-01-25T02:43:05.000Z
"('registra', 'cmo')",7192414830119193861,2023-01-25T02:43:05.000Z
"('cmo', 'incendia')",7192414830119193861,2023-01-25T02:43:05.000Z
"('incendia', 'bomba')",7192414830119193861,2023-01-25T02:43:05.000Z
"('bomba', 'lacrimgena')",7192414830119193861,2023-01-25T02:43:05.000Z
"('lacrimgena', 'lanzada')",7192414830119193861,2023-01-25T02:43:05.000Z
"('lanzada', 'pnp')",7192414830119193861,2023-01-25T02:43:05.000Z
"('brutal', 'represin')",7193895395196636422,2023-01-29T02:28:24.000Z
"('represin', 'afuera')",7193895395196636422,2023-01-29T02:28:24.000Z
"('afuera', 'hospital')",7193895395196636422,2023-01-29T02:28:24.000Z
"('hospital', 'grau')",7193895395196636422,2023-01-29T02:28:24.000Z
"('grau', 'personas')",7193895395196636422,2023-01-29T02:28:24.000Z
"('personas', 'vienen')",7193895395196636422,2023-01-29T02:28:24.000Z
"('vienen', 'acompaando')",7193895395196636422,2023-01-29T02:28:24.000Z
"('acompaando', 'personas')",7193895395196636422,2023-01-29T02:28:24.000Z
"('personas', 'heridas')",7193895395196636422,2023-01-29T02:28:24.000Z
"('contundencia', 'paralizacin')",7193362261178715397,2023-01-27T15:59:30.000Z
"('paralizacin', 'indefinida')",7193362261178715397,2023-01-27T15:59:30.000Z
"('indefinida', 'pueblo')",7193362261178715397,2023-01-27T15:59:30.000Z
"('pueblo', 'puerto')",7193362261178715397,2023-01-27T15:59:30.000Z
"('puerto', 'maldonado')",7193362261178715397,2023-01-27T15:59:30.000Z
"('ms', 'novedades')",7197410705958505733,2023-02-07T13:49:31.000Z
"('novedades', 'canal')",7197410705958505733,2023-02-07T13:49:31.000Z
"('canal', 'youtube')",7197410705958505733,2023-02-07T13:49:31.000Z
"('nuevo', 'video')",7194644682872196357,2023-01-31T02:55:59.000Z
"('video', 'muestra')",7194644682872196357,2023-01-31T02:55:59.000Z
"('muestra', 'momento')",7194644682872196357,2023-01-31T02:55:59.000Z
"('momento', 'muerte')",7194644682872196357,2023-01-31T02:55:59.000Z
"('muerte', 'vctor')",7194644682872196357,2023-01-31T02:55:59.000Z
"('vctor', 'santisteban')",7194644682872196357,2023-01-31T02:55:59.000Z
"('santisteban', 'aprecia')",7194644682872196357,2023-01-31T02:55:59.000Z
"('aprecia', 'policas')",7194644682872196357,2023-01-31T02:55:59.000Z
"('policas', 'dispara')",7194644682872196357,2023-01-31T02:55:59.000Z
"('dispara', 'lacrimgena')",7194644682872196357,2023-01-31T02:55:59.000Z
"('saber', 'une')",7181529799645596933,2022-12-26T18:43:29.000Z
"('une', 'pedido')",7181529799645596933,2022-12-26T18:43:29.000Z
"('hoy', 'melgar')",7196085626977094918,2023-02-04T00:07:32.000Z
"('melgar', 'zombi')",7196085626977094918,2023-02-04T00:07:32.000Z
"('zombi', 'cuenta')",7196085626977094918,2023-02-04T00:07:32.000Z
"('cuenta', 'rol')",7196085626977094918,2023-02-04T00:07:32.000Z
"('rol', 'prensa')",7196085626977094918,2023-02-04T00:07:32.000Z
"('prensa', 'ministros')",7196085626977094918,2023-02-04T00:07:32.000Z
"('provocan', 'poblacin')",7198209778747772166,2023-02-09T17:30:19.000Z
"('poblacin', 'movilizacin')",7198209778747772166,2023-02-09T17:30:19.000Z
"('movilizacin', 'pacifica')",7198209778747772166,2023-02-09T17:30:19.000Z
"('pacifica', 'juliaca')",7198209778747772166,2023-02-09T17:30:19.000Z
"('polica', 'vulner')",7196760749933448453,2023-02-05T19:47:21.000Z
"('vulner', 'derecho')",7196760749933448453,2023-02-05T19:47:21.000Z
"('derecho', 'protesta')",7196760749933448453,2023-02-05T19:47:21.000Z
"('protesta', 'pacfica')",7196760749933448453,2023-02-05T19:47:21.000Z
"('pacfica', 'miles')",7196760749933448453,2023-02-05T19:47:21.000Z
"('miles', 'peruanasos')",7196760749933448453,2023-02-05T19:47:21.000Z
"('peruanasos', 'manifestaban')",7196760749933448453,2023-02-05T19:47:21.000Z
"('manifestaban', 'pacficamente')",7196760749933448453,2023-02-05T19:47:21.000Z
"('pacficamente', 'avenida')",7196760749933448453,2023-02-05T19:47:21.000Z
"('avenida', 'grau')",7196760749933448453,2023-02-05T19:47:21.000Z
"('grau', 'lima')",7196760749933448453,2023-02-05T19:47:21.000Z
"('saber', 'une')",7189279199893540102,2023-01-16T15:55:10.000Z
"('animalitos', 'ms')",7191651594096626949,2023-01-23T01:21:16.000Z
"('ms', 'inteligentes')",7191651594096626949,2023-01-23T01:21:16.000Z
